,name,homepage,github_id,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,image,github_release_downloads,monthly_downloads
15,ContainDS Dashboards,https://github.com/ideonate/cdsdashboards,ideonate/cdsdashboards,extension,True,https://github.com/ideonate/cdsdashboards,,2020-04-28 13:51:31,2021-01-06 09:17:33,2021-01-06 09:17:11,13.0,11.0,34.0,60.0,360.0,,,,JupyterHub extension for ContainDS Dashboards.,,,8.0,9,3,https://github.com/ideonate/cdsdashboards/raw/master/docs/_static/screenshots/AppCollage.png,,
16,ECharts,https://share.streamlit.io/andfanilo/streamlit-echarts-demo/master/app.py,andfanilo/streamlit-echarts,extension,True,https://github.com/andfanilo/streamlit-echarts,MIT,2020-05-04 17:10:16,2021-01-12 13:08:54,2021-01-12 13:07:27,7.0,4.0,2.0,57.0,60.0,,,,A Streamlit custom component to render ECharts in Streamlit.,23.0,23.0,4.0,12,2,https://github.com/andfanilo/streamlit-echarts/raw/master/img/demo.gif,,
17,Terran Timeline,https://github.com/pento-group/streamlit-terran-timeline/,pento-group/streamlit-terran-timeline/,extension,True,https://github.com/pento-group/streamlit-terran-timeline,MIT,2020-08-05 14:54:15,2020-08-26 17:04:21,2020-08-26 17:04:20,6.0,,,51.0,24.0,,,,Using Terran for creating video timelines.,1.0,1.0,,8,3,https://raw.githubusercontent.com/pento-group/streamlit-terran-timeline/master/resources/animation.gif,,
18,Annotated Text,https://github.com/tvst/st-annotated-text,tvst/st-annotated-text,extension,True,https://github.com/tvst/st-annotated-text,,2020-08-02 21:15:25,2020-11-12 23:36:37,2020-11-12 23:36:36,5.0,4.0,1.0,50.0,7.0,,,,A simple component to display annotated text in Streamlit apps.,21.0,21.0,2.0,7,3,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5f47a38cd2fa4ae6e089154c_annotated-text.jpg,,
19,Pandas Profiling,https://github.com/okld/streamlit-pandas-profiling,okld/streamlit-pandas-profiling,extension,True,https://github.com/okld/streamlit-pandas-profiling,MIT,2020-06-27 17:22:56,2021-01-05 20:15:27,2021-01-05 20:00:00,5.0,,8.0,46.0,10.0,,,,Pandas profiling component for Streamlit.,60.0,60.0,2.0,11,2,https://raw.githubusercontent.com/okld/streamlit-pandas-profiling/master/examples/streamlit_pandas_profiling_demo.gif,,
20,chime soundboard,http://chime-soundboard.herokuapp.com/,MaxHalford/chime,audio,True,https://github.com/MaxHalford/chime,MIT,2020-10-04 17:34:48,2020-11-25 07:50:20,2020-11-25 07:50:18,4.0,1.0,8.0,45.0,,,,,Python sound notifications made easy.,,,3.0,8,1,,,
21,Folium,https://share.streamlit.io/randyzwitch/streamlit-folium/examples/streamlit_app.py,randyzwitch/streamlit-folium,extension,True,https://github.com/randyzwitch/streamlit-folium,MIT,2020-07-17 16:13:51,2020-12-03 18:29:09,2020-12-03 18:29:08,8.0,5.0,,44.0,10.0,2020-08-13 14:07:24,0.1.0,2.0,Streamlit Component for rendering Folium maps.,,,,12,2,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5f1f0d5c15373567513a6b42_streamlit_folium_example.jpg,,
22,TechSEO Crawler,https://github.com/jroakes/tech-seo-crawler,jroakes/tech-seo-crawler,business,True,https://github.com/jroakes/tech-seo-crawler,MIT,2019-11-14 12:55:35,2021-01-07 23:17:58,2019-12-10 17:49:02,5.0,,,37.0,60.0,,,,"Build a small, 3 domain internet using Github pages and Wikipedia and construct a crawler to crawl, render, and index.",,,2.0,9,1,https://raw.githubusercontent.com/jroakes/tech-seo-crawler/master/etc/images/screenshot.png,,
23,COCO Explorer,https://github.com/i008/COCO-dataset-explorer,i008/COCO-dataset-explorer,cv,True,https://github.com/i008/COCO-dataset-explorer,,2020-04-23 09:02:23,2020-10-20 13:50:24,2020-10-20 13:50:22,2.0,,1.0,35.0,16.0,,,,Streamlit tool to explore coco datasets.,,,2.0,4,3,https://github.com/i008/COCO-dataset-explorer/raw/master/static/demo1.png,,
24,Ace,https://share.streamlit.io/okld/streamlit-ace/demo/,okld/streamlit-ace,extension,True,https://github.com/okld/streamlit-ace,MIT,2020-06-20 19:35:29,2020-12-12 23:24:32,2020-11-23 19:49:52,7.0,4.0,4.0,34.0,30.0,,,2.0,Streamlit component featuring the Ace code editor.,27.0,27.0,4.0,13,1,https://raw.githubusercontent.com/okld/streamlit-ace/master/demo/streamlit_ace_demo.gif,2.0,0.0
25,FarolCovid,https://farolcovid.coronacidades.org/,ImpulsoGov/farolcovid,sci-tech,True,https://github.com/ImpulsoGov/farolcovid,MIT,2020-04-01 20:48:15,2021-01-15 13:13:35,2021-01-15 13:08:47,7.0,11.0,36.0,34.0,939.0,,,,. Ferramenta de monitoramento do risco de colapso no sistema de sade em municpios brasileiros com a Covid-19..,,,18.0,11,1,,,
26,StockAnalysisApp,https://essential-stock-analysis.herokuapp.com/,antonio-catalano/StockAnalysisApp,business,True,https://github.com/antonio-catalano/StockAnalysisApp,Apache-2.0,2019-10-24 16:05:56,2019-11-13 01:04:19,2019-11-13 01:04:05,19.0,2.0,,32.0,22.0,,,,A stock analysis app with streamlit.,,,,9,1,,,
27,Torchserve Dashboard,https://github.com/cceyda/torchserve-dashboard,cceyda/torchserve-dashboard,ml,True,https://github.com/cceyda/torchserve-dashboard,,2020-09-29 08:49:32,2020-10-15 08:17:41,2020-10-15 08:17:40,,,,29.0,14.0,2020-10-15 08:12:54,0.2.3,3.0,Management Dashboard for Torchserve.,,,2.0,6,3,https://github.com/cceyda/torchserve-dashboard/raw/master/assets/dashboard_demo.gif,,
28,Object detection app,https://github.com/robmarkcole/object-detection-app,robmarkcole/object-detection-app,cv,True,https://github.com/robmarkcole/object-detection-app,Apache-2.0,2019-12-23 08:24:15,2019-12-23 15:34:56,2019-12-23 15:30:59,9.0,1.0,,27.0,14.0,2019-12-23 15:34:56,0.3,3.0,Simple object detection app with streamlit.,,,,9,1,https://github.com/robmarkcole/object-detection-app/raw/master/images/usage.jpg,,
29,Vega-Lite,https://github.com/domoritz/streamlit-vega-lite,domoritz/streamlit-vega-lite,extension,True,https://github.com/domoritz/streamlit-vega-lite,MIT,2020-09-02 16:53:49,2021-01-15 15:21:03,2021-01-15 15:21:02,2.0,5.0,3.0,25.0,36.0,,,,"A Streamlit component to render interactive Vega, Vega-Lite, and Altair visualizations and access the selected data..",5.0,5.0,3.0,9,3,https://github.com/domoritz/streamlit-vega-lite/raw/master/demo.gif,,
30,Observable,https://streamlit-observable.herokuapp.com/,asg017/streamlit-observable,extension,True,https://github.com/asg017/streamlit-observable,MIT,2020-07-23 07:56:48,2020-10-15 02:21:38,2020-10-15 02:21:37,4.0,1.0,1.0,24.0,22.0,,,,Embed Observable notebooks into Streamlit apps!.,5.0,5.0,6.0,10,2,,,
31,D3 Demo,https://github.com/andfanilo/streamlit-d3-demo,andfanilo/streamlit-d3-demo,extension,True,https://github.com/andfanilo/streamlit-d3-demo,MIT,2020-06-01 00:45:11,2020-07-06 17:09:20,2020-07-06 17:05:51,6.0,,,23.0,26.0,,,,D3 in React in Streamlit tech demo.,,,3.0,9,3,https://github.com/andfanilo/streamlit-d3-demo/raw/master/images/demo.gif,,
32,Bokeh Events,https://github.com/ash2shukla/streamlit-bokeh-events,ash2shukla/streamlit-bokeh-events,extension,True,https://github.com/ash2shukla/streamlit-bokeh-events,MIT,2020-07-18 21:27:06,2020-12-22 01:32:06,2020-12-22 01:31:12,6.0,,2.0,22.0,25.0,,,,A streamlit component for bi-directional communication with bokeh plots.,7.0,7.0,3.0,11,2,https://github.com/ash2shukla/streamlit-bokeh-events/raw/master/assets/plots.gif,,
33,Agraph,https://github.com/ChrisChross/streamlit-agraph,ChrisChross/streamlit-agraph,extension,True,https://github.com/ChrisChross/streamlit-agraph,MIT,2020-10-28 23:36:42,2020-12-09 23:08:57,2020-12-09 23:08:52,2.0,8.0,2.0,22.0,20.0,,,,A Streamlit Graph Vis.,3.0,3.0,2.0,7,3,https://github.com/ChrisChross/streamlit-agraph/raw/master/imgs/example2.png,,
34,Style transfer web app,https://github.com/amalshaji/style-transfer,amalshaji/style-transfer,cv,True,https://github.com/amalshaji/style-transfer,,2020-08-30 08:18:37,2020-12-17 18:50:09,2020-09-08 14:52:11,7.0,,,22.0,17.0,,,,style transfer web app [FastAPI + streamlit + Docker].,,,3.0,6,3,,,
35,Covid-19 Data Explorer,https://covid19.cwerner.ai/,cwerner/covid19,sci-tech,True,https://github.com/cwerner/covid19,Apache-2.0,2020-03-07 14:09:20,2020-11-12 13:31:36,2020-11-12 13:31:29,3.0,1.0,2.0,20.0,30.0,,,,Dashboard for the COVID19 spread.,,,,9,2,https://github.com/cwerner/covid19/raw/master/assets/screenshot.png?raw=true,,
36,Cropper,https://github.com/turner-anderson/streamlit-cropper,turner-anderson/streamlit-cropper,extension,True,https://github.com/turner-anderson/streamlit-cropper,MIT,2020-08-22 19:47:57,2020-09-28 01:47:02,2020-09-28 01:46:54,2.0,,2.0,19.0,9.0,,,,A simple image cropper for Streamlit.,7.0,7.0,,6,3,https://github.com/turner-anderson/streamlit-cropper/raw/master/img/demo.gif,,
37,Raylab,https://github.com/angelolovatto/raylab,angelolovatto/raylab,ml,True,https://github.com/angelolovatto/raylab,MIT,2019-09-12 13:50:53,2021-01-13 09:07:38,2020-11-27 13:24:07,4.0,4.0,1.0,18.0,2361.0,,,1.0,Reinforcement learning algorithms in RLlib.,,,6.0,11,1,https://camo.githubusercontent.com/cec5409c95fcb5523288931681b52e607ff466407efb27820636d031042afb05/68747470733a2f2f692e696d6775722e636f6d2f625663365743352e706e67,,
38,Headliner Demo,https://github.com/as-ideas/headliner-demo,as-ideas/headliner-demo,nlp,True,https://github.com/as-ideas/headliner-demo,,2019-10-16 10:54:13,2019-10-18 08:37:01,2019-10-18 08:36:56,5.0,1.0,,18.0,3.0,,,,Simple translation demo showcasing our headliner package.,,,2.0,4,3,https://github.com/as-ideas/headliner/raw/master/figures/headline_generator.png,,
39,Auto Vaidya,https://auto-vaidya.herokuapp.com/,Auto-Vaidya/auto_vaidya,sci-tech,True,https://github.com/Auto-Vaidya/auto_vaidya,CC0-1.0,2020-06-05 21:20:31,2020-12-05 13:31:40,2020-12-05 13:31:38,19.0,9.0,15.0,17.0,72.0,,,,An open-source project for applying deep learning to medical scenarios.,,,9.0,8,2,,,
40,Matplotlib Configurator,https://github.com/dhaitz/matplotlib-style-configurator,dhaitz/matplotlib-style-configurator,non-ml,True,https://github.com/dhaitz/matplotlib-style-configurator,MIT,2020-07-07 16:29:40,2020-07-08 16:17:14,2020-07-08 16:14:59,2.0,,,17.0,17.0,,,,"Matplotlib style configurator, built with Streamlit.",,,,6,2,,,
41,Webapp Computer Vision,https://github.com/amineHY/WebApp-Computer-Vision-streamlit,amineHY/WebApp-Computer-Vision-streamlit,cv,True,https://github.com/amineHY/WebApp-Computer-Vision-streamlit,,2020-02-03 15:11:02,2020-07-04 13:20:02,2020-02-07 14:55:48,12.0,2.0,,17.0,5.0,,,,Computer Vision application in the web.,,,,5,3,https://github.com/amineHY/WebApp-Computer-Vision-streamlit/raw/master/media/preview_app.gif,,
42,Containerized App,https://github.com/collinprather/streamlit-docker,collinprather/streamlit-docker,non-ml,True,https://github.com/collinprather/streamlit-docker,,2020-02-24 22:23:24,2020-03-13 17:36:25,2020-03-13 17:05:22,10.0,,,17.0,7.0,,,,Bare bones use-case for deploying a containerized web app (built in streamlit) on AWS.,,,,5,3,https://github.com/collinprather/streamlit-docker/raw/master/images/app.gif,,
43,Genetic Ancestry,http://ezancestry.herokuapp.com/,arvkevi/ezancestry,sci-tech,True,https://github.com/arvkevi/ezancestry,MIT,2020-05-11 00:45:27,2020-11-24 03:01:51,2020-11-24 03:01:44,7.0,2.0,3.0,16.0,26.0,,,,Visualize your genotype data with streamlit.,,,2.0,8,2,https://github.com/arvkevi/ezancestry/raw/master/images/ezancestry.png,,
44,Time Series Forecasting,https://autoforecast-prophet.herokuapp.com/,zachrenwick/streamlit_forecasting_app,business,True,https://github.com/zachrenwick/streamlit_forecasting_app,MIT,2020-05-18 22:15:36,2020-05-27 03:51:14,2020-05-19 07:02:39,6.0,2.0,,16.0,19.0,,,,This MVP data web app uses the Streamlit framework and Facebook's Prophet forecasting package to generate a dynamic..,,,,7,2,https://github.com/zachrenwick/streamlit_forecasting_app/raw/master/images/screenshot2.jpg,,
45,Rick & Morty Generator,https://share.streamlit.io/e-tony/story_generator/main/app.py,e-tony/Story_Generator,nlp,True,https://github.com/e-tony/Story_Generator,MIT,2020-10-26 20:53:41,2020-12-15 11:25:05,2020-12-15 11:25:04,1.0,,,16.0,,,,,A Streamlit app that generates Rick and Morty stories using GPT2.,,,,6,2,,,
46,Indian ALPR System,https://github.com/udaylunawat/Automatic-License-Plate-Recognition,udaylunawat/Automatic-License-Plate-Recognition,cv,True,https://github.com/udaylunawat/Automatic-License-Plate-Recognition,Apache-2.0,2020-05-14 08:10:04,2021-01-03 08:13:19,2021-01-03 08:12:39,4.0,,,15.0,191.0,,,,Source code of ALPR (Automatic License Plate Recognition System).,,,2.0,9,1,https://camo.githubusercontent.com/d1ead79cb4338307cff2eb72ec89ec57da5e002feb9432c8b5a4586c730c2290/68747470733a2f2f6d656469612e67697068792e636f6d2f6d656469612f6944784d6970745976666a42714a786447792f67697068792e676966,,
47,Image Classification App,https://github.com/smaranjitghose/img_ai_app_boilerplate,smaranjitghose/img_ai_app_boilerplate,cv,True,https://github.com/smaranjitghose/img_ai_app_boilerplate,MIT,2020-09-10 10:07:03,2021-01-16 10:24:06,2021-01-15 22:24:40,12.0,16.0,10.0,14.0,85.0,,,,An image classification app boilerplate to serve your deep learning models asap!.,,,5.0,8,2,,,
48,Embedcode,https://share.streamlit.io/randyzwitch/streamlit-embedcode/examples/streamlit_app.py,randyzwitch/streamlit-embedcode,extension,True,https://github.com/randyzwitch/streamlit-embedcode,MIT,2020-06-30 16:21:26,2020-11-30 19:18:54,2020-11-30 19:18:53,5.0,,2.0,13.0,22.0,2020-08-13 13:34:38,0.1.1,4.0,"Streamlit component for embedding code snippets such as GitHub gists, CodePen snippets, Gitlab snippets, etc.",15.0,15.0,,14,1,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5f033ac45f3ead8fc901f3ac_gh_gist_example.png,4.0,0.0
49,Whatsapp Chat Analyzer,https://whatsapp-chat-analyzer.herokuapp.com/,pcsingh/WhatsApp-Chat-Analyzer,non-ml,True,https://github.com/pcsingh/WhatsApp-Chat-Analyzer,MIT,2020-07-25 07:27:46,2020-10-05 13:46:40,2020-10-05 13:46:02,6.0,2.0,1.0,13.0,76.0,,,,WhatsApp Chat Analyzer is a WebApp and it can be used by anyone to analyze their chat.,,,3.0,8,2,https://github.com/pcsingh/WhatsApp-Chat-Analyzer/raw/master/assets/work.gif,,
50,EDA on Financial Dataset,https://github.com/bukosabino/streamlit-demo-financial-eda,bukosabino/streamlit-demo-financial-eda,business,True,https://github.com/bukosabino/streamlit-demo-financial-eda,Apache-2.0,2019-10-20 18:08:53,2020-03-17 08:33:14,2020-03-17 08:33:13,5.0,,1.0,13.0,14.0,,,,Automated Exploration Data Analysis on a financial dataset.,,,,7,2,,,
51,Rhyme with AI,https://github.com/godatadriven/rhyme-with-ai,godatadriven/rhyme-with-ai,nlp,True,https://github.com/godatadriven/rhyme-with-ai,MIT,2019-12-23 16:10:59,2020-06-18 13:56:29,2020-06-18 13:56:24,7.0,1.0,,13.0,15.0,,,,Rhyme with AI.,,,2.0,6,2,https://github.com/godatadriven/rhyme-with-ai/raw/master/screenshot.gif,,
52,Wildfire Detection,https://github.com/yueureka/WildFireDetection,yueureka/WildFireDetection,cv,True,https://github.com/yueureka/WildFireDetection,CC0-1.0,2020-06-09 03:56:49,2020-11-13 18:54:26,2020-06-20 15:02:55,7.0,,,12.0,59.0,,,,Using U-Net Model to Detect Wildfire from Satellite Imagery.,,,5.0,8,2,https://github.com/yueureka/WildFireDetection/raw/master/Pictures/App2.png,,
53,Sentiment Analyzer,https://github.com/patidarparas13/Sentiment-Analyzer-Tool,patidarparas13/Sentiment-Analyzer-Tool,nlp,True,https://github.com/patidarparas13/Sentiment-Analyzer-Tool,MIT,2019-10-04 03:27:28,2019-10-04 03:44:25,2019-10-04 03:44:25,9.0,,1.0,12.0,3.0,,,,"It analyze the sentiment of the user, whether it is postive or negative.",,,,7,2,https://github.com/patidarparas13/Sentiment-Analyzer-Tool/raw/master/image.png,,
54,Covid19-Scotland,https://github.com/heyad/covid19,heyad/covid19,sci-tech,True,https://github.com/heyad/covid19,,2020-04-12 23:12:34,2020-04-22 17:09:04,2020-04-22 17:07:51,3.0,,,12.0,12.0,,,,"Load, explore and analyse data from Scotland and rest of the world related to Covid19.",,,,5,3,https://github.com/heyad/covid19/raw/master/covid19_Scotland/figures/intro.png,,
55,Marketing Campaign App,https://github.com/Ivyw1219/Marketing_Campaign_APP,Ivyw1219/Marketing_Campaign_APP,business,True,https://github.com/Ivyw1219/Marketing_Campaign_APP,,2020-04-08 13:27:31,2020-04-08 18:53:29,2020-04-08 18:53:28,5.0,,,11.0,38.0,,,,"A streamlit APP DEMO (python, plotly).",,,,6,3,https://github.com/Ivyw1219/Marketing_Campaign_APP/raw/master/app-preview.gif,,
56,Board Game Exploration,https://bgexploration.herokuapp.com/,MaartenGr/boardgame,non-ml,True,https://github.com/MaartenGr/boardgame,,2019-10-21 12:45:15,2019-11-07 06:19:08,2019-11-07 06:19:07,9.0,1.0,,11.0,23.0,,,,Heroku app to explore boardgame data.,,,3.0,6,2,https://github.com/MaartenGr/boardgame/raw/master/images/streamlit_gif_large.gif,,
57,Squote,https://github.com/cjwallace/squote,cjwallace/squote,nlp,True,https://github.com/cjwallace/squote,MIT,2019-10-25 00:20:21,2020-09-30 22:57:54,2020-09-30 22:57:44,1.0,,1.0,9.0,22.0,,,,Semantic search for quotes.,,,2.0,6,2,https://user-images.githubusercontent.com/6513950/67687144-bee79b80-f98f-11e9-975f-76c71207f7a0.gif,,
58,AgGrid,https://share.streamlit.io/pablocfonseca/streamlit-aggrid/main/example.py,PablocFonseca/streamlit-aggrid,extension,True,https://github.com/PablocFonseca/streamlit-aggrid,MIT,2020-12-17 22:57:06,2021-01-07 14:42:01,2021-01-07 14:41:50,2.0,,2.0,9.0,,,,,AgGrid is an awesome grid for web frontend.,2.0,2.0,,6,3,https://github.com/PablocFonseca/streamlit-aggrid/raw/main/group_selection_example.gif,,
59,Global cities explorer,https://github.com/asehmi/Data-Science-Meetup-Oxford/tree/master/GlobalCities,asehmi/Data-Science-Meetup-Oxford,business,True,https://github.com/asehmi/Data-Science-Meetup-Oxford,,2020-02-26 15:03:04,2021-01-06 10:19:26,2020-11-24 00:56:08,5.0,,,9.0,15.0,,,,Content shared at DS-OX Meetup.,,,,6,3,https://github.com/asehmi/Data-Science-Meetup-Oxford/raw/master/GCFS-streamlit.png,,
60,Apache JMeter,https://github.com/QAInsights/Streamlit-JMeter,QAInsights/Streamlit-JMeter,non-ml,True,https://github.com/QAInsights/Streamlit-JMeter,MIT,2019-12-07 22:24:19,2021-01-07 22:15:56,2019-12-24 19:55:55,8.0,1.0,1.0,8.0,62.0,,,1.0,Powering up Apache JMeter with Streamlit and opening the door for machine learning.,,,,9,1,https://github.com/QAInsights/Streamlit-JMeter/raw/master/images/About.png,,
61,3dmol,https://github.com/napoles-uach/streamlit_3dmol,napoles-uach/streamlit_3dmol,extension,True,https://github.com/napoles-uach/streamlit_3dmol,MIT,2020-07-29 19:00:23,2020-08-14 19:06:22,2020-08-14 19:06:22,1.0,,,8.0,30.0,,,,This project aims to provide an easy way to create a web app for interacting with molecular structures using Streamlit.,1.0,1.0,3.0,7,3,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5f341f27935a5c69dd31edff_stmol_image.jpg,,
62,Analytics,https://github.com/jrieke/streamlit-analytics,jrieke/streamlit-analytics,extension,True,https://github.com/jrieke/streamlit-analytics,MIT,2021-01-03 20:57:54,2021-01-14 14:22:22,2021-01-14 14:22:16,,1.0,,7.0,,,,,Track & visualize user interactions with your streamlit app.,,,,6,3,https://github.com/jrieke/streamlit-analytics/raw/main/images/example.png,,
63,Goodreads App,https://share.streamlit.io/tylerjrichards/streamlit_goodreads_app/books.py,tylerjrichards/streamlit_goodreads_app,non-ml,True,https://github.com/tylerjrichards/streamlit_goodreads_app,,2020-09-30 00:46:41,2020-12-23 04:25:06,2020-12-23 04:25:00,6.0,,,7.0,23.0,,,,Analyzing Your Goodreads Reading Habits.,,,3.0,6,2,,,
