,name,homepage,github_id,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,image,new_addition,trending,github_release_downloads,monthly_downloads,updated_github_id
56,Wildfire Detection,https://github.com/yueureka/WildFireDetection,yueureka/WildFireDetection,cv,True,https://github.com/yueureka/WildFireDetection,CC0-1.0,2020-06-09 03:56:49,2021-03-19 13:30:06,2020-06-20 15:02:55,7.0,,,18.0,59.0,,,,Using U-Net Model to Detect Wildfire from Satellite Imagery.,,,5.0,8,2,https://github.com/yueureka/WildFireDetection/raw/master/Pictures/App2.png,,,,,
57,EDA on Financial Dataset,https://github.com/bukosabino/streamlit-demo-financial-eda,bukosabino/streamlit-demo-financial-eda,business,True,https://github.com/bukosabino/streamlit-demo-financial-eda,Apache-2.0,2019-10-20 18:08:53,2020-03-17 08:33:14,2020-03-17 08:33:13,7.0,,1.0,18.0,14.0,,,,Automated Exploration Data Analysis on a financial dataset.,,,,7,3,,,,,,
58,Indian ALPR System,https://github.com/udaylunawat/Automatic-License-Plate-Recognition,udaylunawat/Automatic-License-Plate-Recognition,cv,True,https://github.com/udaylunawat/Automatic-License-Plate-Recognition,Apache-2.0,2020-05-14 08:10:04,2021-04-12 12:14:58,2021-04-12 12:14:25,5.0,,,17.0,192.0,,,,Source code of ALPR (Automatic License Plate Recognition System).,,,2.0,9,2,https://camo.githubusercontent.com/d1ead79cb4338307cff2eb72ec89ec57da5e002feb9432c8b5a4586c730c2290/68747470733a2f2f6d656469612e67697068792e636f6d2f6d656469612f6944784d6970745976666a42714a786447792f67697068792e676966,,,,,
59,Whatsapp Chat Analyzer,https://whatsapp-chat-analyzer.herokuapp.com/,pcsingh/WhatsApp-Chat-Analyzer,non-ml,True,https://github.com/pcsingh/WhatsApp-Chat-Analyzer,MIT,2020-07-25 07:27:46,2020-10-05 13:46:40,2020-10-05 13:46:02,6.0,3.0,1.0,17.0,76.0,,,,WhatsApp Chat Analyzer is a WebApp and it can be used by anyone to analyze their chat.,,,3.0,8,2,https://github.com/pcsingh/WhatsApp-Chat-Analyzer/raw/master/assets/work.gif,,,,,
60,Goodreads App,https://share.streamlit.io/tylerjrichards/streamlit_goodreads_app/books.py,tylerjrichards/streamlit_goodreads_app,non-ml,True,https://github.com/tylerjrichards/streamlit_goodreads_app,,2020-09-30 00:46:41,2021-03-22 17:39:47,2021-03-22 17:39:43,11.0,,1.0,17.0,27.0,,,,Analyzing Your Goodreads Reading Habits.,,,4.0,7,2,,,,,,
61,Headliner Demo,https://github.com/as-ideas/headliner-demo,as-ideas/headliner-demo,nlp,True,https://github.com/as-ideas/headliner-demo,,2019-10-16 10:54:13,2019-10-18 08:37:01,2019-10-18 08:36:56,6.0,1.0,,17.0,3.0,,,,Simple translation demo showcasing our headliner package.,,,2.0,4,3,https://github.com/as-ideas/headliner/raw/master/figures/headline_generator.png,,,,,
62,Embedcode,https://share.streamlit.io/randyzwitch/streamlit-embedcode/examples/streamlit_app.py,randyzwitch/streamlit-embedcode,extension,True,https://github.com/randyzwitch/streamlit-embedcode,MIT,2020-06-30 16:21:26,2021-02-25 21:50:58,2021-02-25 21:50:58,5.0,,2.0,16.0,23.0,2020-08-13 13:34:38,0.1.1,4.0,"Streamlit component for embedding code snippets such as GitHub gists, CodePen snippets, Gitlab snippets, etc.",16.0,16.0,,13,1,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5f033ac45f3ead8fc901f3ac_gh_gist_example.png,,,4.0,0.0,
63,Lottie,https://share.streamlit.io/andfanilo/streamlit-lottie-demo/master/app.py,andfanilo/streamlit-lottie,extension,True,https://github.com/andfanilo/streamlit-lottie,Apache-2.0,2020-11-15 22:58:44,2021-04-22 17:45:03,2021-04-22 17:43:17,3.0,,1.0,15.0,,,,,Streamlit component to render Lottie animations.,21.0,21.0,,9,3,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5ff89ebd92caec4726522fd7_Streamlit-Logo-Animation-1000100.gif,,,,,
64,Rhyme with AI,https://github.com/godatadriven/rhyme-with-ai,godatadriven/rhyme-with-ai,nlp,True,https://github.com/godatadriven/rhyme-with-ai,MIT,2019-12-23 16:10:59,2020-06-18 13:56:29,2020-06-18 13:56:24,8.0,1.0,,15.0,15.0,,,,Rhyme with AI.,,,2.0,6,3,https://github.com/godatadriven/rhyme-with-ai/raw/master/screenshot.gif,,,,,
65,Sentiment Analyzer,https://github.com/patidarparas13/Sentiment-Analyzer-Tool,patidarparas13/Sentiment-Analyzer-Tool,nlp,True,https://github.com/patidarparas13/Sentiment-Analyzer-Tool,MIT,2019-10-04 03:27:28,2019-10-04 03:44:25,2019-10-04 03:44:25,9.0,,1.0,14.0,3.0,,,,"It analyze the sentiment of the user, whether it is postive or negative.",,,,7,2,https://github.com/patidarparas13/Sentiment-Analyzer-Tool/raw/master/image.png,,,,,
