,name,homepage,github_id,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,image,github_release_downloads,monthly_downloads,trending,updated_github_id
10,FastAPI Model Serving,https://github.com/davidefiocco/streamlit-fastapi-model-serving,davidefiocco/streamlit-fastapi-model-serving,ml,True,https://github.com/davidefiocco/streamlit-fastapi-model-serving,MIT,2020-06-20 18:57:39,2020-12-20 15:44:53,2020-12-20 15:44:52,16.0,1.0,4.0,89.0,56.0,,,,Simple web app example using streamlit and FastAPI to serve a PyTorch model.,,,2.0,9,3,https://davidefiocco.github.io/images/2020-06-27-streamlit.png,,,,
11,Cheat Sheet,https://share.streamlit.io/daniellewisdl/streamlit-cheat-sheet/master/app.py,daniellewisDL/streamlit-cheat-sheet,non-ml,True,https://github.com/daniellewisDL/streamlit-cheat-sheet,MIT,2020-08-14 04:58:15,2021-01-02 18:10:07,2020-12-06 04:06:30,17.0,1.0,,79.0,36.0,,,,A cheat sheet for streamlit.,,,3.0,10,1,https://github.com/daniellewisDL/streamlit-cheat-sheet/raw/master/streamlit-cheat-sheet.png,,,,
12,Drawable Canvas,https://share.streamlit.io/andfanilo/streamlit-drawable-canvas-demo/master/app.py,andfanilo/streamlit-drawable-canvas,extension,True,https://github.com/andfanilo/streamlit-drawable-canvas,MIT,2020-05-10 15:37:54,2021-01-30 18:00:11,2021-01-30 17:57:12,10.0,11.0,20.0,74.0,56.0,,,,"Do you like Quick, Draw? Well what if you could train/predict doodles drawn inside Streamlit? Also draws lines,..",104.0,104.0,4.0,13,1,https://github.com/andfanilo/streamlit-drawable-canvas/raw/master/img/demo.gif,,,,
13,ContainDS Dashboards,https://github.com/ideonate/cdsdashboards,ideonate/cdsdashboards,extension,True,https://github.com/ideonate/cdsdashboards,,2020-04-28 13:51:31,2021-02-17 17:21:04,2021-02-17 17:20:58,14.0,10.0,38.0,73.0,368.0,,,,JupyterHub extension for ContainDS Dashboards.,,,8.0,9,3,https://github.com/ideonate/cdsdashboards/raw/master/docs/_static/screenshots/AppCollage.png,,,,
14,ECharts,https://share.streamlit.io/andfanilo/streamlit-echarts-demo/master/app.py,andfanilo/streamlit-echarts,extension,True,https://github.com/andfanilo/streamlit-echarts,MIT,2020-05-04 17:10:16,2021-02-10 11:34:48,2021-01-12 13:07:27,8.0,5.0,2.0,70.0,60.0,,,,A Streamlit custom component to render ECharts in Streamlit.,28.0,28.0,4.0,12,2,https://github.com/andfanilo/streamlit-echarts/raw/master/img/demo.gif,,,,
15,MQTT Camera Streamer,https://github.com/robmarkcole/mqtt-camera-streamer,robmarkcole/mqtt-camera-streamer,cv,True,https://github.com/robmarkcole/mqtt-camera-streamer,GPL-3.0,2019-07-21 03:48:41,2020-12-31 10:15:55,2020-11-27 08:58:10,26.0,7.0,11.0,68.0,62.0,2020-07-19 06:52:57,0.6,6.0,Stream images from a connected camera over MQTT & view using Streamlit.,,,,11,1,https://github.com/robmarkcole/mqtt-camera-streamer/raw/master/docs/images/viewer_usage.png,,,,
16,E2E ML App w/ PyTorch,https://github.com/madewithml/e2e-ml-app-pytorch,madewithml/e2e-ml-app-pytorch,ml,True,https://github.com/madewithml/e2e-ml-app-pytorch,MIT,2020-04-29 22:50:19,2020-07-29 19:20:26,2020-06-21 00:52:56,15.0,,,63.0,19.0,,,,"An end-to-end ML applications using PyTorch, W&B, FastAPI, Docker, Streamlit and Heroku https://e2e-ml-app-..",,,,8,3,,,,,
17,Annotated Text,https://github.com/tvst/st-annotated-text,tvst/st-annotated-text,extension,True,https://github.com/tvst/st-annotated-text,,2020-08-02 21:15:25,2020-11-12 23:36:37,2020-11-12 23:36:36,4.0,5.0,1.0,61.0,7.0,,,,A simple component to display annotated text in Streamlit apps.,23.0,23.0,2.0,7,3,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5f47a38cd2fa4ae6e089154c_annotated-text.jpg,,,,
18,Finance Chart,https://streamlit-finance-chart.herokuapp.com/,paduel/streamlit_finance_chart,business,True,https://github.com/paduel/streamlit_finance_chart,GPL-3.0,2019-10-21 18:27:09,2021-01-07 23:13:16,2019-10-22 16:58:45,16.0,,1.0,60.0,24.0,,,,This app is a simple example of using Strealit to create a financial data web app.,,,,9,1,https://raw.githubusercontent.com/paduel/streamlit_finance_chart/master/sample.gif,,,,
19,Folium,https://share.streamlit.io/randyzwitch/streamlit-folium/examples/streamlit_app.py,randyzwitch/streamlit-folium,extension,True,https://github.com/randyzwitch/streamlit-folium,MIT,2020-07-17 16:13:51,2021-02-10 19:54:56,2021-02-10 19:54:56,10.0,6.0,1.0,53.0,13.0,2021-02-05 17:52:52,0.1.1,3.0,Streamlit Component for rendering Folium maps.,,,,12,2,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5f1f0d5c15373567513a6b42_streamlit_folium_example.jpg,,,,
20,Pandas Profiling,https://github.com/okld/streamlit-pandas-profiling,okld/streamlit-pandas-profiling,extension,True,https://github.com/okld/streamlit-pandas-profiling,MIT,2020-06-27 17:22:56,2021-01-05 20:15:27,2021-01-05 20:00:00,5.0,,8.0,53.0,10.0,,,,Pandas profiling component for Streamlit.,102.0,102.0,2.0,11,2,https://raw.githubusercontent.com/okld/streamlit-pandas-profiling/master/examples/streamlit_pandas_profiling_demo.gif,,,,
21,Terran Timeline,https://github.com/pento-group/streamlit-terran-timeline/,pento-group/streamlit-terran-timeline,extension,True,https://github.com/pento-group/streamlit-terran-timeline,MIT,2020-08-05 14:54:15,2020-08-26 17:04:21,2020-08-26 17:04:20,6.0,,,53.0,24.0,,,,Using Terran for creating video timelines.,2.0,2.0,,9,3,https://raw.githubusercontent.com/pento-group/streamlit-terran-timeline/master/resources/animation.gif,,,,
22,chime soundboard,http://chime-soundboard.herokuapp.com/,MaxHalford/chime,audio,True,https://github.com/MaxHalford/chime,MIT,2020-10-04 17:34:48,2020-11-25 07:50:20,2020-11-25 07:50:18,4.0,1.0,9.0,51.0,,,,,Python sound notifications made easy.,,,3.0,7,1,,,,,
23,WebRTC,https://streamlit-webrtc-example.herokuapp.com/,whitphx/streamlit-webrtc,extension,True,https://github.com/whitphx/streamlit-webrtc,MIT,2021-01-04 14:13:24,2021-02-22 08:17:38,2021-02-19 10:37:39,6.0,7.0,3.0,47.0,171.0,,,,"Real-time video and audio streams over the network, with Streamlit.",16.0,16.0,3.0,12,2,https://aws1.discourse-cdn.com/business7/uploads/streamlit/original/2X/a/af111a7393c77cb69d7712ac8e71ca862feaeb24.gif,,,,
24,Ace,https://share.streamlit.io/okld/streamlit-ace/demo/,okld/streamlit-ace,extension,True,https://github.com/okld/streamlit-ace,MIT,2020-06-20 19:35:29,2020-12-12 23:24:32,2020-11-23 19:49:52,7.0,4.0,4.0,40.0,30.0,,,2.0,Streamlit component featuring the Ace code editor.,36.0,36.0,4.0,13,1,https://raw.githubusercontent.com/okld/streamlit-ace/master/demo/streamlit_ace_demo.gif,2.0,0.0,,
25,StockAnalysisApp,https://essential-stock-analysis.herokuapp.com/,antonio-catalano/StockAnalysisApp,business,True,https://github.com/antonio-catalano/StockAnalysisApp,Apache-2.0,2019-10-24 16:05:56,2019-11-13 01:04:19,2019-11-13 01:04:05,19.0,2.0,,40.0,22.0,,,,A stock analysis app with streamlit.,,,,9,1,,,,,
26,COCO Explorer,https://github.com/i008/COCO-dataset-explorer,i008/COCO-dataset-explorer,cv,True,https://github.com/i008/COCO-dataset-explorer,,2020-04-23 09:02:23,2021-02-15 08:59:50,2021-02-15 08:59:42,4.0,1.0,5.0,40.0,20.0,,,,Streamlit tool to explore coco datasets.,,,2.0,6,3,https://github.com/i008/COCO-dataset-explorer/raw/master/static/demo1.png,,,,
27,TechSEO Crawler,https://github.com/jroakes/tech-seo-crawler,jroakes/tech-seo-crawler,business,True,https://github.com/jroakes/tech-seo-crawler,MIT,2019-11-14 12:55:35,2021-02-02 22:21:29,2019-12-10 17:49:02,5.0,,,39.0,60.0,,,,"Build a small, 3 domain internet using Github pages and Wikipedia and construct a crawler to crawl, render, and index.",,,2.0,9,1,https://raw.githubusercontent.com/jroakes/tech-seo-crawler/master/etc/images/screenshot.png,,,,
28,AgGrid,https://share.streamlit.io/pablocfonseca/streamlit-aggrid/main/example.py,PablocFonseca/streamlit-aggrid,extension,True,https://github.com/PablocFonseca/streamlit-aggrid,MIT,2020-12-17 22:57:06,2021-02-10 14:37:42,2021-02-10 14:37:42,11.0,4.0,7.0,39.0,,,,,AgGrid is an awesome grid for web frontend.,4.0,4.0,2.0,8,3,https://github.com/PablocFonseca/streamlit-aggrid/raw/main/group_selection_example.gif,,,,
29,FarolCovid,https://farolcovid.coronacidades.org/,ImpulsoGov/farolcovid,sci-tech,True,https://github.com/ImpulsoGov/farolcovid,MIT,2020-04-01 20:48:15,2021-02-19 22:13:58,2021-02-19 22:11:47,8.0,11.0,36.0,36.0,968.0,,,,. Ferramenta de monitoramento do risco de colapso no sistema de sade em municpios brasileiros com a Covid-19..,,,18.0,11,1,,,,,
30,Torchserve Dashboard,https://github.com/cceyda/torchserve-dashboard,cceyda/torchserve-dashboard,ml,True,https://github.com/cceyda/torchserve-dashboard,,2020-09-29 08:49:32,2021-02-16 10:53:47,2021-02-16 10:53:47,,,,30.0,19.0,2021-02-16 08:58:31,0.2.5,5.0,Management Dashboard for Torchserve.,,,2.0,7,3,https://github.com/cceyda/torchserve-dashboard/raw/master/assets/dashboard_demo.gif,,,,
31,Style transfer web app,https://github.com/amalshaji/style-transfer,amalshaji/style-transfer,cv,True,https://github.com/amalshaji/style-transfer,,2020-08-30 08:18:37,2020-12-17 18:50:09,2020-09-08 14:52:11,13.0,,,30.0,17.0,,,,style transfer web app [FastAPI + streamlit + Docker].,,,3.0,7,2,,,,,
32,Agraph,https://github.com/ChrisChross/streamlit-agraph,ChrisChross/streamlit-agraph,extension,True,https://github.com/ChrisChross/streamlit-agraph,MIT,2020-10-28 23:36:42,2020-12-09 23:08:57,2020-12-09 23:08:52,2.0,8.0,3.0,29.0,20.0,,,,A Streamlit Graph Vis.,6.0,6.0,2.0,7,3,https://github.com/ChrisChross/streamlit-agraph/raw/master/imgs/example2.png,,,,
33,Object detection app,https://github.com/robmarkcole/object-detection-app,robmarkcole/object-detection-app,cv,True,https://github.com/robmarkcole/object-detection-app,Apache-2.0,2019-12-23 08:24:15,2019-12-23 15:34:56,2019-12-23 15:30:59,11.0,1.0,,28.0,14.0,2019-12-23 15:34:56,0.3,3.0,Simple object detection app with streamlit.,,,,9,2,https://github.com/robmarkcole/object-detection-app/raw/master/images/usage.jpg,,,,
34,Vega-Lite,https://github.com/domoritz/streamlit-vega-lite,domoritz/streamlit-vega-lite,extension,True,https://github.com/domoritz/streamlit-vega-lite,MIT,2020-09-02 16:53:49,2021-01-15 15:21:03,2021-01-15 15:21:02,2.0,4.0,5.0,27.0,36.0,,,,"A Streamlit component to render interactive Vega, Vega-Lite, and Altair visualizations and access the selected data..",10.0,10.0,3.0,10,3,https://github.com/domoritz/streamlit-vega-lite/raw/master/demo.gif,,,1.0,
35,Bokeh Events,https://github.com/ash2shukla/streamlit-bokeh-events,ash2shukla/streamlit-bokeh-events,extension,True,https://github.com/ash2shukla/streamlit-bokeh-events,MIT,2020-07-18 21:27:06,2020-12-22 01:32:06,2020-12-22 01:31:12,7.0,1.0,2.0,26.0,25.0,,,,A streamlit component for bi-directional communication with bokeh plots.,8.0,8.0,3.0,11,2,https://github.com/ash2shukla/streamlit-bokeh-events/raw/master/assets/plots.gif,,,,
36,Ask Me Anything,https://share.streamlit.io/apugoneappu/ask_me_anything/main.py,apugoneappu/ask_me_anything,cv,True,https://github.com/apugoneappu/ask_me_anything,,2020-10-16 21:28:14,2020-11-29 14:48:45,2020-11-29 14:48:44,3.0,,1.0,26.0,112.0,,,,An easy-to-use app to visualise attentions of various VQA models.,,,3.0,6,3,https://github.com/apugoneappu/ask_me_anything/raw/master/assets/landing.png,,,,
37,Observable,https://streamlit-observable.herokuapp.com/,asg017/streamlit-observable,extension,True,https://github.com/asg017/streamlit-observable,MIT,2020-07-23 07:56:48,2020-10-15 02:21:38,2020-10-15 02:21:37,5.0,1.0,1.0,25.0,22.0,,,,Embed Observable notebooks into Streamlit apps!.,7.0,7.0,6.0,10,3,,,,,
38,D3 Demo,https://github.com/andfanilo/streamlit-d3-demo,andfanilo/streamlit-d3-demo,extension,True,https://github.com/andfanilo/streamlit-d3-demo,MIT,2020-06-01 00:45:11,2020-07-06 17:09:20,2020-07-06 17:05:51,8.0,,,24.0,26.0,,,,D3 in React in Streamlit tech demo.,,,3.0,9,3,https://github.com/andfanilo/streamlit-d3-demo/raw/master/images/demo.gif,,,,
39,Cropper,https://github.com/turner-anderson/streamlit-cropper,turner-anderson/streamlit-cropper,extension,True,https://github.com/turner-anderson/streamlit-cropper,MIT,2020-08-22 19:47:57,2020-09-28 01:47:02,2020-09-28 01:46:54,2.0,,2.0,22.0,9.0,,,,A simple image cropper for Streamlit.,7.0,7.0,,8,3,https://github.com/turner-anderson/streamlit-cropper/raw/master/img/demo.gif,,,,
40,Image Classification App,https://github.com/smaranjitghose/img_ai_app_boilerplate,smaranjitghose/img_ai_app_boilerplate,cv,True,https://github.com/smaranjitghose/img_ai_app_boilerplate,MIT,2020-09-10 10:07:03,2021-01-27 14:23:07,2021-01-21 19:03:36,13.0,14.0,14.0,21.0,93.0,2021-01-27 14:23:07,0.0.1,1.0,An image classification app boilerplate to serve your deep learning models asap!.,,,7.0,11,1,,,,,
41,Containerized App,https://github.com/collinprather/streamlit-docker,collinprather/streamlit-docker,non-ml,True,https://github.com/collinprather/streamlit-docker,,2020-02-24 22:23:24,2020-03-13 17:36:25,2020-03-13 17:05:22,11.0,,,21.0,7.0,,,,Bare bones use-case for deploying a containerized web app (built in streamlit) on AWS.,,,,6,3,https://github.com/collinprather/streamlit-docker/raw/master/images/app.gif,,,,
42,Covid-19 Data Explorer,https://covid19.cwerner.ai/,cwerner/covid19,sci-tech,True,https://github.com/cwerner/covid19,Apache-2.0,2020-03-07 14:09:20,2020-11-12 13:31:36,2020-11-12 13:31:29,3.0,1.0,2.0,19.0,30.0,,,,Dashboard for the COVID19 spread.,,,,8,1,https://github.com/cwerner/covid19/raw/master/assets/screenshot.png?raw=true,,,,
43,Genetic Ancestry,http://ezancestry.herokuapp.com/,arvkevi/ezancestry,sci-tech,True,https://github.com/arvkevi/ezancestry,MIT,2020-05-11 00:45:27,2021-02-01 11:24:41,2021-02-01 11:23:49,7.0,2.0,4.0,19.0,31.0,,,,Visualize your personal genetics data.,,,2.0,8,1,https://github.com/arvkevi/ezancestry/raw/master/images/ezancestry.png,,,,
44,Time Series Forecasting,https://autoforecast-prophet.herokuapp.com/,zachrenwick/streamlit_forecasting_app,business,True,https://github.com/zachrenwick/streamlit_forecasting_app,MIT,2020-05-18 22:15:36,2020-05-27 03:51:14,2020-05-19 07:02:39,8.0,2.0,,19.0,19.0,,,,This MVP data web app uses the Streamlit framework and Facebook's Prophet forecasting package to generate a dynamic..,,,,7,3,https://github.com/zachrenwick/streamlit_forecasting_app/raw/master/images/screenshot2.jpg,,,,
45,Webapp Computer Vision,https://github.com/amineHY/WebApp-Computer-Vision-streamlit,amineHY/WebApp-Computer-Vision-streamlit,cv,True,https://github.com/amineHY/WebApp-Computer-Vision-streamlit,,2020-02-03 15:11:02,2020-07-04 13:20:02,2020-02-07 14:55:48,13.0,2.0,,19.0,5.0,,,,Computer Vision application in the web.,,,,5,3,https://github.com/amineHY/WebApp-Computer-Vision-streamlit/raw/master/media/preview_app.gif,,,,
46,Raylab,https://github.com/angelolovatto/raylab,angelolovatto/raylab,ml,True,https://github.com/angelolovatto/raylab,MIT,2019-09-12 13:50:53,2021-02-22 09:06:48,2021-02-03 12:55:43,4.0,4.0,1.0,18.0,2405.0,,,1.0,Reinforcement learning algorithms in RLlib.,,,6.0,11,1,https://camo.githubusercontent.com/cec5409c95fcb5523288931681b52e607ff466407efb27820636d031042afb05/68747470733a2f2f692e696d6775722e636f6d2f625663365743352e706e67,,,,
47,Rick & Morty Generator,https://share.streamlit.io/e-tony/story_generator/main/app.py,e-tony/Story_Generator,nlp,True,https://github.com/e-tony/Story_Generator,MIT,2020-10-26 20:53:41,2020-12-15 11:25:05,2020-12-15 11:25:04,3.0,,,18.0,,,,,A Streamlit app that generates Rick and Morty stories using GPT2.,,,,7,2,,,,,
48,Matplotlib Configurator,https://github.com/dhaitz/matplotlib-style-configurator,dhaitz/matplotlib-style-configurator,non-ml,True,https://github.com/dhaitz/matplotlib-style-configurator,MIT,2020-07-07 16:29:40,2020-07-08 16:17:14,2020-07-08 16:14:59,2.0,,,18.0,17.0,,,,"Matplotlib style configurator, built with Streamlit.",,,,6,3,,,,,
49,Headliner Demo,https://github.com/as-ideas/headliner-demo,as-ideas/headliner-demo,nlp,True,https://github.com/as-ideas/headliner-demo,,2019-10-16 10:54:13,2019-10-18 08:37:01,2019-10-18 08:36:56,6.0,1.0,,18.0,3.0,,,,Simple translation demo showcasing our headliner package.,,,2.0,4,3,https://github.com/as-ideas/headliner/raw/master/figures/headline_generator.png,,,,
50,Auto Vaidya,https://auto-vaidya.herokuapp.com/,Auto-Vaidya/auto_vaidya,sci-tech,True,https://github.com/smaranjitghose/auto_vaidya,CC0-1.0,2020-06-05 21:20:31,2020-12-05 13:31:40,2020-12-05 13:31:38,19.0,9.0,15.0,17.0,72.0,,,,An open-source project for applying deep learning to medical scenarios.,,,9.0,8,1,,,,,smaranjitghose/auto_vaidya
51,EDA on Financial Dataset,https://github.com/bukosabino/streamlit-demo-financial-eda,bukosabino/streamlit-demo-financial-eda,business,True,https://github.com/bukosabino/streamlit-demo-financial-eda,Apache-2.0,2019-10-20 18:08:53,2020-03-17 08:33:14,2020-03-17 08:33:13,5.0,,1.0,17.0,14.0,,,,Automated Exploration Data Analysis on a financial dataset.,,,,7,3,,,,,
52,Wildfire Detection,https://github.com/yueureka/WildFireDetection,yueureka/WildFireDetection,cv,True,https://github.com/yueureka/WildFireDetection,CC0-1.0,2020-06-09 03:56:49,2020-11-13 18:54:26,2020-06-20 15:02:55,7.0,,,17.0,59.0,,,,Using U-Net Model to Detect Wildfire from Satellite Imagery.,,,5.0,7,2,https://github.com/yueureka/WildFireDetection/raw/master/Pictures/App2.png,,,,
53,Embedcode,https://share.streamlit.io/randyzwitch/streamlit-embedcode/examples/streamlit_app.py,randyzwitch/streamlit-embedcode,extension,True,https://github.com/randyzwitch/streamlit-embedcode,MIT,2020-06-30 16:21:26,2020-11-30 19:18:54,2020-11-30 19:18:53,5.0,,2.0,16.0,22.0,2020-08-13 13:34:38,0.1.1,4.0,"Streamlit component for embedding code snippets such as GitHub gists, CodePen snippets, Gitlab snippets, etc.",15.0,15.0,,12,2,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5f033ac45f3ead8fc901f3ac_gh_gist_example.png,4.0,0.0,,
54,Global cities explorer,https://github.com/asehmi/Data-Science-Meetup-Oxford/tree/master/GlobalCities,asehmi/Data-Science-Meetup-Oxford,business,True,https://github.com/asehmi/Data-Science-Meetup-Oxford,,2020-02-26 15:03:04,2021-02-21 18:10:44,2021-02-21 18:10:37,6.0,,,16.0,26.0,,,,Content shared at DS-OX Meetup.,,,,7,3,https://github.com/asehmi/Data-Science-Meetup-Oxford/raw/master/GCFS-streamlit.png,,,,
55,Indian ALPR System,https://github.com/udaylunawat/Automatic-License-Plate-Recognition,udaylunawat/Automatic-License-Plate-Recognition,cv,True,https://github.com/udaylunawat/Automatic-License-Plate-Recognition,Apache-2.0,2020-05-14 08:10:04,2021-01-03 08:13:19,2021-01-03 08:12:39,4.0,,,15.0,191.0,,,,Source code of ALPR (Automatic License Plate Recognition System).,,,2.0,9,2,https://camo.githubusercontent.com/d1ead79cb4338307cff2eb72ec89ec57da5e002feb9432c8b5a4586c730c2290/68747470733a2f2f6d656469612e67697068792e636f6d2f6d656469612f6944784d6970745976666a42714a786447792f67697068792e676966,,,,
56,Whatsapp Chat Analyzer,https://whatsapp-chat-analyzer.herokuapp.com/,pcsingh/WhatsApp-Chat-Analyzer,non-ml,True,https://github.com/pcsingh/WhatsApp-Chat-Analyzer,MIT,2020-07-25 07:27:46,2020-10-05 13:46:40,2020-10-05 13:46:02,6.0,3.0,1.0,15.0,76.0,,,,WhatsApp Chat Analyzer is a WebApp and it can be used by anyone to analyze their chat.,,,3.0,8,2,https://github.com/pcsingh/WhatsApp-Chat-Analyzer/raw/master/assets/work.gif,,,,
57,"Alph, The Sacred River",https://share.streamlit.io/thoppe/alph-the-sacred-river/main,thoppe/alph-the-sacred-river,cv,True,https://github.com/thoppe/alph-the-sacred-river,,2021-01-11 23:17:37,2021-01-24 20:40:34,2021-01-24 20:40:15,3.0,1.0,,15.0,,,,,Combines poems and text using CLIP from OpenAI.,,,,5,3,,,,,
58,Rhyme with AI,https://github.com/godatadriven/rhyme-with-ai,godatadriven/rhyme-with-ai,nlp,True,https://github.com/godatadriven/rhyme-with-ai,MIT,2019-12-23 16:10:59,2020-06-18 13:56:29,2020-06-18 13:56:24,8.0,1.0,,14.0,15.0,,,,Rhyme with AI.,,,2.0,6,3,https://github.com/godatadriven/rhyme-with-ai/raw/master/screenshot.gif,,,,
59,Sentiment Analyzer,https://github.com/patidarparas13/Sentiment-Analyzer-Tool,patidarparas13/Sentiment-Analyzer-Tool,nlp,True,https://github.com/patidarparas13/Sentiment-Analyzer-Tool,MIT,2019-10-04 03:27:28,2019-10-04 03:44:25,2019-10-04 03:44:25,9.0,,1.0,13.0,3.0,,,,"It analyze the sentiment of the user, whether it is postive or negative.",,,,7,2,https://github.com/patidarparas13/Sentiment-Analyzer-Tool/raw/master/image.png,,,,
60,Marketing Campaign App,https://github.com/Ivyw1219/Marketing_Campaign_APP,Ivyw1219/Marketing_Campaign_APP,business,True,https://github.com/Ivyw1219/Marketing_Campaign_APP,,2020-04-08 13:27:31,2020-04-08 18:53:29,2020-04-08 18:53:28,5.0,,,12.0,38.0,,,,"A streamlit APP DEMO (python, plotly).",,,,6,3,https://github.com/Ivyw1219/Marketing_Campaign_APP/raw/master/app-preview.gif,,,,
61,Covid19-Scotland,https://github.com/heyad/covid19,heyad/covid19,sci-tech,True,https://github.com/heyad/covid19,,2020-04-12 23:12:34,2020-04-22 17:09:04,2020-04-22 17:07:51,3.0,,,12.0,12.0,,,,"Load, explore and analyse data from Scotland and rest of the world related to Covid19.",,,,5,3,https://github.com/heyad/covid19/raw/master/covid19_Scotland/figures/intro.png,,,,
